row_index,element,Te,Ne
606,Te,7000.0,7.78e+18
607,Ti,7000.0,7.78e+18
608,Tl,7000.0,7.78e+18
609,Tm,7000.0,7.78e+18
610,V,7000.0,7.78e+18
611,W,7000.0,7.78e+18
612,Xe,7000.0,7.78e+18
613,Y,7000.0,7.78e+18
614,Yb,7000.0,7.78e+18
615,Zn,7000.0,7.78e+18
616,Ac,7000.0,8.89e+18
617,Ag,7000.0,8.89e+18
618,Al,7000.0,8.89e+18
619,Ar,7000.0,8.89e+18
620,As,7000.0,8.89e+18
621,Au,7000.0,8.89e+18
622,B,7000.0,8.89e+18
623,Ba,7000.0,8.89e+18
624,Be,7000.0,8.89e+18
625,Bi,7000.0,8.89e+18
626,Br,7000.0,8.89e+18
627,C,7000.0,8.89e+18
628,Ca,7000.0,8.89e+18
629,Cd,7000.0,8.89e+18
630,Ce,7000.0,8.89e+18
631,Cl,7000.0,8.89e+18
632,Co,7000.0,8.89e+18
633,Cr,7000.0,8.89e+18
634,Cs,7000.0,8.89e+18
635,Cu,7000.0,8.89e+18
636,Dy,7000.0,8.89e+18
637,Er,7000.0,8.89e+18
638,Eu,7000.0,8.89e+18
639,F,7000.0,8.89e+18
640,Fe,7000.0,8.89e+18
641,Fr,7000.0,8.89e+18
642,Ga,7000.0,8.89e+18
643,Gd,7000.0,8.89e+18
644,Ge,7000.0,8.89e+18
645,H,7000.0,8.89e+18
646,He,7000.0,8.89e+18
647,Hf,7000.0,8.89e+18
648,Hg,7000.0,8.89e+18
649,Ho,7000.0,8.89e+18
650,K,7000.0,8.89e+18
651,Kr,7000.0,8.89e+18
652,La,7000.0,8.89e+18
653,Li,7000.0,8.89e+18
654,Lu,7000.0,8.89e+18
655,Mg,7000.0,8.89e+18
656,Mn,7000.0,8.89e+18
657,Mo,7000.0,8.89e+18
658,N,7000.0,8.89e+18
659,Na,7000.0,8.89e+18
660,Nd,7000.0,8.89e+18
661,Ne,7000.0,8.89e+18
662,Ni,7000.0,8.89e+18
663,O,7000.0,8.89e+18
664,P,7000.0,8.89e+18
665,Pb,7000.0,8.89e+18
666,Pd,7000.0,8.89e+18
667,Pr,7000.0,8.89e+18
668,Pt,7000.0,8.89e+18
669,Ra,7000.0,8.89e+18
670,Rb,7000.0,8.89e+18
671,Rh,7000.0,8.89e+18
672,Ru,7000.0,8.89e+18
673,S,7000.0,8.89e+18
674,Sb,7000.0,8.89e+18
675,Sc,7000.0,8.89e+18
676,Si,7000.0,8.89e+18
677,Sm,7000.0,8.89e+18
678,Sn,7000.0,8.89e+18
679,Sr,7000.0,8.89e+18
680,Ta,7000.0,8.89e+18
681,Tb,7000.0,8.89e+18
682,Tc,7000.0,8.89e+18
683,Te,7000.0,8.89e+18
684,Ti,7000.0,8.89e+18
685,Tl,7000.0,8.89e+18
686,Tm,7000.0,8.89e+18
687,V,7000.0,8.89e+18
688,W,7000.0,8.89e+18
689,Xe,7000.0,8.89e+18
690,Y,7000.0,8.89e+18
691,Yb,7000.0,8.89e+18
692,Zn,7000.0,8.89e+18
693,Ac,7000.0,1e+19
694,Ag,7000.0,1e+19
695,Al,7000.0,1e+19
696,Ar,7000.0,1e+19
697,As,7000.0,1e+19
698,Au,7000.0,1e+19
699,B,7000.0,1e+19
700,Ba,7000.0,1e+19
701,Be,7000.0,1e+19
702,Bi,7000.0,1e+19
703,Br,7000.0,1e+19
704,C,7000.0,1e+19
705,Ca,7000.0,1e+19
706,Cd,7000.0,1e+19
707,Ce,7000.0,1e+19
708,Cl,7000.0,1e+19
709,Co,7000.0,1e+19
710,Cr,7000.0,1e+19
711,Cs,7000.0,1e+19
712,Cu,7000.0,1e+19
713,Dy,7000.0,1e+19
714,Er,7000.0,1e+19
715,Eu,7000.0,1e+19
716,F,7000.0,1e+19
717,Fe,7000.0,1e+19
718,Fr,7000.0,1e+19
719,Ga,7000.0,1e+19
720,Gd,7000.0,1e+19
721,Ge,7000.0,1e+19
722,H,7000.0,1e+19
723,He,7000.0,1e+19
724,Hf,7000.0,1e+19
725,Hg,7000.0,1e+19
726,Ho,7000.0,1e+19
727,K,7000.0,1e+19
728,Kr,7000.0,1e+19
729,La,7000.0,1e+19
730,Li,7000.0,1e+19
731,Lu,7000.0,1e+19
732,Mg,7000.0,1e+19
733,Mn,7000.0,1e+19
734,Mo,7000.0,1e+19
735,N,7000.0,1e+19
736,Na,7000.0,1e+19
737,Nd,7000.0,1e+19
738,Ne,7000.0,1e+19
739,Ni,7000.0,1e+19
740,O,7000.0,1e+19
741,P,7000.0,1e+19
742,Pb,7000.0,1e+19
743,Pd,7000.0,1e+19
744,Pr,7000.0,1e+19
745,Pt,7000.0,1e+19
746,Ra,7000.0,1e+19
747,Rb,7000.0,1e+19
748,Rh,7000.0,1e+19
749,Ru,7000.0,1e+19
750,S,7000.0,1e+19
751,Sb,7000.0,1e+19
752,Sc,7000.0,1e+19
753,Si,7000.0,1e+19
754,Sm,7000.0,1e+19
755,Sn,7000.0,1e+19
756,Sr,7000.0,1e+19
757,Ta,7000.0,1e+19
758,Tb,7000.0,1e+19
759,Tc,7000.0,1e+19
760,Te,7000.0,1e+19
761,Ti,7000.0,1e+19
762,Tl,7000.0,1e+19
763,Tm,7000.0,1e+19
764,V,7000.0,1e+19
765,W,7000.0,1e+19
766,Xe,7000.0,1e+19
767,Y,7000.0,1e+19
768,Yb,7000.0,1e+19
769,Zn,7000.0,1e+19
770,Ac,7888.888888888889,1e+16
771,Ag,7888.888888888889,1e+16
772,Al,7888.888888888889,1e+16
773,Ar,7888.888888888889,1e+16
774,As,7888.888888888889,1e+16
775,Au,7888.888888888889,1e+16
776,B,7888.888888888889,1e+16
777,Ba,7888.888888888889,1e+16
778,Be,7888.888888888889,1e+16
779,Bi,7888.888888888889,1e+16
780,Br,7888.888888888889,1e+16
781,C,7888.888888888889,1e+16
782,Ca,7888.888888888889,1e+16
783,Cd,7888.888888888889,1e+16
784,Ce,7888.888888888889,1e+16
785,Cl,7888.888888888889,1e+16
786,Co,7888.888888888889,1e+16
787,Cr,7888.888888888889,1e+16
788,Cs,7888.888888888889,1e+16
789,Cu,7888.888888888889,1e+16
790,Dy,7888.888888888889,1e+16
791,Er,7888.888888888889,1e+16
792,Eu,7888.888888888889,1e+16
793,F,7888.888888888889,1e+16
794,Fe,7888.888888888889,1e+16
795,Fr,7888.888888888889,1e+16
796,Ga,7888.888888888889,1e+16
797,Gd,7888.888888888889,1e+16
798,Ge,7888.888888888889,1e+16
799,H,7888.888888888889,1e+16
800,He,7888.888888888889,1e+16
801,Hf,7888.888888888889,1e+16
802,Hg,7888.888888888889,1e+16
803,Ho,7888.888888888889,1e+16
804,K,7888.888888888889,1e+16
805,Kr,7888.888888888889,1e+16
806,La,7888.888888888889,1e+16
807,Li,7888.888888888889,1e+16
808,Lu,7888.888888888889,1e+16
809,Mg,7888.888888888889,1e+16
810,Mn,7888.888888888889,1e+16
