row_index,element,Te,Ne
451,Lu,7000.0,8.89e+18
452,Mg,7000.0,8.89e+18
453,Mn,7000.0,8.89e+18
454,Mo,7000.0,8.89e+18
455,N,7000.0,8.89e+18
456,Na,7000.0,8.89e+18
457,Nd,7000.0,8.89e+18
458,Ni,7000.0,8.89e+18
459,O,7000.0,8.89e+18
460,P,7000.0,8.89e+18
461,Pb,7000.0,8.89e+18
462,Pr,7000.0,8.89e+18
463,Pt,7000.0,8.89e+18
464,S,7000.0,8.89e+18
465,Si,7000.0,8.89e+18
466,Sm,7000.0,8.89e+18
467,Sn,7000.0,8.89e+18
468,Sr,7000.0,8.89e+18
469,Ta,7000.0,8.89e+18
470,Tb,7000.0,8.89e+18
471,Ti,7000.0,8.89e+18
472,V,7000.0,8.89e+18
473,W,7000.0,8.89e+18
474,Y,7000.0,8.89e+18
475,Yb,7000.0,8.89e+18
476,Zn,7000.0,8.89e+18
477,Ag,7000.0,1e+19
478,Al,7000.0,1e+19
479,Ar,7000.0,1e+19
480,As,7000.0,1e+19
481,Au,7000.0,1e+19
482,B,7000.0,1e+19
483,Ba,7000.0,1e+19
484,Be,7000.0,1e+19
485,C,7000.0,1e+19
486,Ca,7000.0,1e+19
487,Cd,7000.0,1e+19
488,Ce,7000.0,1e+19
489,Cl,7000.0,1e+19
490,Co,7000.0,1e+19
491,Cr,7000.0,1e+19
492,Cu,7000.0,1e+19
493,Dy,7000.0,1e+19
494,Er,7000.0,1e+19
495,F,7000.0,1e+19
496,Fe,7000.0,1e+19
497,Gd,7000.0,1e+19
498,He,7000.0,1e+19
499,Hg,7000.0,1e+19
500,Ho,7000.0,1e+19
501,K,7000.0,1e+19
502,La,7000.0,1e+19
503,Li,7000.0,1e+19
504,Lu,7000.0,1e+19
505,Mg,7000.0,1e+19
506,Mn,7000.0,1e+19
507,Mo,7000.0,1e+19
508,N,7000.0,1e+19
509,Na,7000.0,1e+19
510,Nd,7000.0,1e+19
511,Ni,7000.0,1e+19
512,O,7000.0,1e+19
513,P,7000.0,1e+19
514,Pb,7000.0,1e+19
515,Pr,7000.0,1e+19
516,Pt,7000.0,1e+19
517,S,7000.0,1e+19
518,Si,7000.0,1e+19
519,Sm,7000.0,1e+19
520,Sn,7000.0,1e+19
521,Sr,7000.0,1e+19
522,Ta,7000.0,1e+19
523,Tb,7000.0,1e+19
524,Ti,7000.0,1e+19
525,V,7000.0,1e+19
526,W,7000.0,1e+19
527,Y,7000.0,1e+19
528,Yb,7000.0,1e+19
529,Zn,7000.0,1e+19
530,Ag,7888.888888888889,1e+16
531,Al,7888.888888888889,1e+16
532,Ar,7888.888888888889,1e+16
533,As,7888.888888888889,1e+16
534,Au,7888.888888888889,1e+16
535,B,7888.888888888889,1e+16
536,Ba,7888.888888888889,1e+16
537,Be,7888.888888888889,1e+16
538,C,7888.888888888889,1e+16
539,Ca,7888.888888888889,1e+16
540,Cd,7888.888888888889,1e+16
541,Ce,7888.888888888889,1e+16
542,Cl,7888.888888888889,1e+16
543,Co,7888.888888888889,1e+16
544,Cr,7888.888888888889,1e+16
545,Cu,7888.888888888889,1e+16
546,Dy,7888.888888888889,1e+16
547,Er,7888.888888888889,1e+16
548,F,7888.888888888889,1e+16
549,Fe,7888.888888888889,1e+16
550,Gd,7888.888888888889,1e+16
551,He,7888.888888888889,1e+16
552,Hg,7888.888888888889,1e+16
553,Ho,7888.888888888889,1e+16
554,K,7888.888888888889,1e+16
555,La,7888.888888888889,1e+16
556,Li,7888.888888888889,1e+16
557,Lu,7888.888888888889,1e+16
558,Mg,7888.888888888889,1e+16
559,Mn,7888.888888888889,1e+16
560,Mo,7888.888888888889,1e+16
561,N,7888.888888888889,1e+16
562,Na,7888.888888888889,1e+16
563,Nd,7888.888888888889,1e+16
564,Ni,7888.888888888889,1e+16
565,O,7888.888888888889,1e+16
566,P,7888.888888888889,1e+16
567,Pb,7888.888888888889,1e+16
568,Pr,7888.888888888889,1e+16
569,Pt,7888.888888888889,1e+16
570,S,7888.888888888889,1e+16
571,Si,7888.888888888889,1e+16
572,Sm,7888.888888888889,1e+16
573,Sn,7888.888888888889,1e+16
574,Sr,7888.888888888889,1e+16
575,Ta,7888.888888888889,1e+16
576,Tb,7888.888888888889,1e+16
577,Ti,7888.888888888889,1e+16
578,V,7888.888888888889,1e+16
579,W,7888.888888888889,1e+16
580,Y,7888.888888888889,1e+16
581,Yb,7888.888888888889,1e+16
582,Zn,7888.888888888889,1e+16
583,Ag,7888.888888888889,1.12e+18
584,Al,7888.888888888889,1.12e+18
585,Ar,7888.888888888889,1.12e+18
586,As,7888.888888888889,1.12e+18
587,Au,7888.888888888889,1.12e+18
588,B,7888.888888888889,1.12e+18
589,Ba,7888.888888888889,1.12e+18
590,Be,7888.888888888889,1.12e+18
591,C,7888.888888888889,1.12e+18
592,Ca,7888.888888888889,1.12e+18
593,Cd,7888.888888888889,1.12e+18
594,Ce,7888.888888888889,1.12e+18
595,Cl,7888.888888888889,1.12e+18
596,Co,7888.888888888889,1.12e+18
597,Cr,7888.888888888889,1.12e+18
598,Cu,7888.888888888889,1.12e+18
599,Dy,7888.888888888889,1.12e+18
600,Er,7888.888888888889,1.12e+18
601,F,7888.888888888889,1.12e+18
602,Fe,7888.888888888889,1.12e+18
603,Gd,7888.888888888889,1.12e+18
604,He,7888.888888888889,1.12e+18
605,Hg,7888.888888888889,1.12e+18
606,Ho,7888.888888888889,1.12e+18
607,K,7888.888888888889,1.12e+18
608,La,7888.888888888889,1.12e+18
609,Li,7888.888888888889,1.12e+18
610,Lu,7888.888888888889,1.12e+18
611,Mg,7888.888888888889,1.12e+18
612,Mn,7888.888888888889,1.12e+18
613,Mo,7888.888888888889,1.12e+18
614,N,7888.888888888889,1.12e+18
615,Na,7888.888888888889,1.12e+18
616,Nd,7888.888888888889,1.12e+18
617,Ni,7888.888888888889,1.12e+18
618,O,7888.888888888889,1.12e+18
619,P,7888.888888888889,1.12e+18
620,Pb,7888.888888888889,1.12e+18
621,Pr,7888.888888888889,1.12e+18
622,Pt,7888.888888888889,1.12e+18
623,S,7888.888888888889,1.12e+18
624,Si,7888.888888888889,1.12e+18
625,Sm,7888.888888888889,1.12e+18
626,Sn,7888.888888888889,1.12e+18
627,Sr,7888.888888888889,1.12e+18
628,Ta,7888.888888888889,1.12e+18
629,Tb,7888.888888888889,1.12e+18
630,Ti,7888.888888888889,1.12e+18
631,V,7888.888888888889,1.12e+18
632,W,7888.888888888889,1.12e+18
633,Y,7888.888888888889,1.12e+18
634,Yb,7888.888888888889,1.12e+18
635,Zn,7888.888888888889,1.12e+18
636,Ag,7888.888888888889,2.23e+18
637,Al,7888.888888888889,2.23e+18
638,Ar,7888.888888888889,2.23e+18
639,As,7888.888888888889,2.23e+18
640,Au,7888.888888888889,2.23e+18
641,B,7888.888888888889,2.23e+18
642,Ba,7888.888888888889,2.23e+18
643,Be,7888.888888888889,2.23e+18
644,C,7888.888888888889,2.23e+18
645,Ca,7888.888888888889,2.23e+18
646,Cd,7888.888888888889,2.23e+18
647,Ce,7888.888888888889,2.23e+18
648,Cl,7888.888888888889,2.23e+18
649,Co,7888.888888888889,2.23e+18
650,Cr,7888.888888888889,2.23e+18
651,Cu,7888.888888888889,2.23e+18
652,Dy,7888.888888888889,2.23e+18
653,Er,7888.888888888889,2.23e+18
654,F,7888.888888888889,2.23e+18
655,Fe,7888.888888888889,2.23e+18
656,Gd,7888.888888888889,2.23e+18
657,He,7888.888888888889,2.23e+18
658,Hg,7888.888888888889,2.23e+18
659,Ho,7888.888888888889,2.23e+18
660,K,7888.888888888889,2.23e+18
661,La,7888.888888888889,2.23e+18
662,Li,7888.888888888889,2.23e+18
663,Lu,7888.888888888889,2.23e+18
664,Mg,7888.888888888889,2.23e+18
665,Mn,7888.888888888889,2.23e+18
666,Mo,7888.888888888889,2.23e+18
667,N,7888.888888888889,2.23e+18
668,Na,7888.888888888889,2.23e+18
669,Nd,7888.888888888889,2.23e+18
670,Ni,7888.888888888889,2.23e+18
671,O,7888.888888888889,2.23e+18
672,P,7888.888888888889,2.23e+18
673,Pb,7888.888888888889,2.23e+18
674,Pr,7888.888888888889,2.23e+18
675,Pt,7888.888888888889,2.23e+18
676,S,7888.888888888889,2.23e+18
677,Si,7888.888888888889,2.23e+18
678,Sm,7888.888888888889,2.23e+18
679,Sn,7888.888888888889,2.23e+18
680,Sr,7888.888888888889,2.23e+18
681,Ta,7888.888888888889,2.23e+18
682,Tb,7888.888888888889,2.23e+18
683,Ti,7888.888888888889,2.23e+18
684,V,7888.888888888889,2.23e+18
685,W,7888.888888888889,2.23e+18
